long,lat,easting,northing,Y_mean,Y_mean_c,Y_sd,prob,quantile,quantile_c,elevation,slope,aspect,curvature,twi
-81.78773517354954,26.286531874333413,2234233.538200122,3025155.847974115,-8.809890786422542,3.8823461255405407,0.7102604943745315,0.004155417056121,-7.641616236170249,20.259280377899177,9.0,3.0,312.0,3.0,7.545104852168523
-81.5171279660387,26.252784442539625,2262546.836824108,3025155.847974115,-8.794089036351988,3.9700814225588346,0.7596001027620712,0.0072036536620674,-7.544658052291084,23.23662226665345,12.0,2.0,0.0,12.0,7.941743691836643
-81.24700320466118,26.218568357511938,2290860.135448093,3025155.847974115,-8.741958027864321,4.273831276601534,0.7906639799290136,0.0111600855675375,-7.441431512778197,26.888812286010022,6.0,5.0,193.0,1.0,7.040188830991998
-80.97736689598466,26.183887083611275,2319173.434072079,3025155.847974115,-8.668574053442958,4.741202634745521,0.8008286747842668,0.0152230266844439,-7.351328103157316,30.54289563076069,6.0,1.0,0.0,0.0,8.607715418818213
-80.7082249734247,26.14874411904452,2347486.7326960647,3025155.847974115,-8.61281722583778,5.13018898015869,0.8010390158346111,0.0181271163304736,-7.295225295312583,33.06485511734217,6.0,0.0,0.0,1.0,11.522875795823396
-80.43958329681125,26.11314299501008,2375800.031320051,3025155.847974115,-8.591292599912306,5.28875440570062,0.7951468841771663,0.0186478735871568,-7.2833923635143325,33.62280893530205,4.0,2.0,209.0,3.0,7.941743691836643
-80.17144765198064,26.077087274841077,2404113.3299440364,3025155.847974115,-8.55829670162282,5.5413920973799975,0.7711399476406214,0.017665006848065,-7.289884361858976,33.31553848082064,,,,,
-99.50166185314924,27.604063671530284,450495.7248890209,3053469.146598101,-7.591269598320391,21.75432050752857,0.2342645834595375,0.0025571947091265,-7.205938648550695,37.514850803263,145.0,1.0,228.0,-5.0,8.607715418818213
-99.21474589296176,27.604804172670523,478809.0235130065,3053469.146598101,-7.642098463934825,20.245469084491404,0.2275803427304528,0.0009503827977680056,-7.267762111771779,34.374274026356645,206.0,1.0,228.0,-6.0,8.607715418818213
-98.92782336858723,27.60495153974051,507122.3221369926,3053469.146598101,-7.701426799905358,18.616154245126097,0.223522385561634,0.00030501513007106964,-7.333765193309459,31.310986640958983,,,,,
-98.64090305048045,27.604505755872424,535435.6207609782,3053469.146598101,-7.7580064536980435,17.184630854461023,0.2233617719533957,0.00011530279166477474,-7.390609032978193,28.892502615983,205.0,3.0,48.0,1.0,7.545104852168523
-98.3539937086904,27.603466872090465,563748.9193849638,3053469.146598101,-7.804203162844912,16.09783037502019,0.2268281143070054,6.400090359217236e-05,-7.431104116332471,27.28439831322016,115.0,2.0,246.0,7.0,7.941743691836643
-98.06710411124809,27.601835007295502,592062.2180089494,3053469.146598101,-7.842388850575249,15.251572803453517,0.2324059600755495,4.757271078213277e-05,-7.460115064219843,26.18766423781065,49.0,2.0,209.0,-4.0,7.941743691836643
-97.78024302255471,27.59961034822933,620375.5166329355,3053469.146598101,-7.870181961049242,14.663740682925503,0.2383047955878663,4.3785730168877646e-05,-7.478205453706611,25.52620206542179,22.0,2.0,246.0,3.0,7.941743691836643
-97.49341920177216,27.59679314941844,648688.8152569211,3053469.146598101,-7.883029221760331,14.39972803774177,0.2447675983115733,5.406422516438222e-05,-7.480422349917339,25.446300572154,13.0,0.0,0.0,1.0,11.522875795823396
